Date,Open,High,Low,Close,Volume
1577808000,129.690000,132.430000,128.200000,132.050000,30637815.914773
1577894400,132.050000,133.000000,128.700000,129.610000,27565840.311819
1577980800,129.610000,133.910000,125.920000,132.520000,67134115.772707
1578067200,132.530000,135.000000,131.960000,133.290000,43177433.064448
1578153600,133.280000,137.890000,132.880000,137.230000,41398462.965615
1578240000,137.220000,143.090000,134.260000,140.190000,75081085.276045
1578326400,140.180000,145.300000,139.100000,139.570000,67251706.248438
1578412800,139.530000,147.770000,138.810000,141.440000,81355182.385309
1578499200,141.430000,141.910000,137.160000,138.200000,53362617.859068
1578585600,138.200000,142.980000,135.350000,142.540000,58156620.377626
1578672000,142.540000,145.350000,140.610000,143.430000,63482256.731232
1578758400,143.400000,148.000000,141.780000,144.970000,58999062.518551
1578844800,144.950000,146.990000,142.330000,142.840000,39995835.888977
1578931200,142.830000,157.700000,142.530000,155.960000,133759902.097343
1579017600,155.970000,171.980000,153.080000,162.440000,240344056.678904
1579104000,162.440000,167.390000,158.500000,162.500000,99563327.188617
1579190400,162.500000,174.630000,160.600000,168.350000,126996961.365418
1579276800,168.340000,179.530000,165.000000,175.520000,154237002.072841
1579363200,175.520000,178.000000,161.620000,164.780000,140881437.395707
1579449600,164.780000,167.650000,161.340000,166.860000,66311390.353643
1579536000,166.870000,169.310000,165.570000,168.050000,41043134.922264
1579622400,168.080000,171.310000,164.910000,167.500000,60042180.811017
1579708800,167.460000,169.050000,161.060000,163.220000,50513523.055369
1579795200,163.260000,163.520000,155.540000,162.590000,78862967.821583
1579881600,162.600000,164.500000,157.660000,160.450000,29244027.458305
1579968000,160.450000,164.220000,159.370000,163.350000,30794720.523099
1580054400,163.320000,170.860000,163.200000,170.000000,71047513.419048
1580140800,170.000000,174.500000,169.040000,172.320000,74157741.281401
1580227200,172.330000,178.510000,170.090000,175.130000,71373819.510203
1580313600,175.130000,177.640000,170.990000,177.630000,68933829.159701
1580400000,177.630000,187.000000,174.800000,180.000000,128172581.432159
1580486400,180.030000,184.290000,177.560000,181.500000,80418930.986696
1580572800,181.500000,193.800000,179.080000,192.560000,132877333.750894
1580659200,192.550000,195.000000,187.230000,187.480000,91215391.684739
1580745600,187.500000,191.860000,184.590000,188.420000,68872305.050591
1580832000,188.420000,199.220000,186.850000,198.840000,90690088.580464
1580918400,198.870000,216.360000,198.100000,212.400000,203656559.564569
1581004800,212.390000,224.870000,210.900000,221.590000,189831293.611241
1581091200,221.600000,227.750000,213.500000,225.070000,192946856.359290
1581177600,225.070000,230.660000,221.790000,226.890000,141760836.229503
1581264000,226.910000,229.480000,216.560000,223.350000,153224177.842363
1581350400,223.360000,230.180000,218.130000,228.750000,113808195.966175
1581436800,228.740000,258.000000,227.630000,254.290000,296322089.350211
1581523200,254.290000,277.700000,253.340000,270.440000,470497749.139698
1581609600,270.530000,275.000000,260.430000,272.960000,229701196.153360
1581696000,272.950000,288.360000,267.790000,274.120000,267237170.177268
1581782400,274.120000,279.780000,256.030000,258.990000,307955444.764042
1581868800,258.990000,263.200000,237.000000,256.450000,438877522.692474
1581955200,256.550000,275.000000,254.400000,273.630000,311439993.311756
1582041600,273.630000,285.870000,272.830000,279.530000,287601770.170047
1582128000,279.540000,285.600000,246.420000,254.960000,357500944.654340
1582214400,255.000000,266.270000,245.230000,265.180000,203241287.257218
1582300800,265.170000,268.000000,256.170000,261.060000,114755209.868984
1582387200,261.070000,274.860000,258.480000,270.050000,164274112.492043
1582473600,270.050000,277.000000,263.790000,267.610000,186867478.973638
1582560000,267.590000,270.680000,250.190000,252.220000,236150874.493538
1582646400,252.220000,255.080000,226.000000,226.390000,327848403.042119
1582732800,226.390000,233.080000,210.000000,231.030000,412269702.936373
1582819200,231.050000,238.320000,213.990000,227.300000,292618694.743884
1582905600,227.290000,232.970000,219.920000,223.870000,215147042.041771
1582992000,223.880000,228.000000,216.130000,220.340000,168170947.009910
1583078400,220.360000,229.830000,212.460000,228.360000,196345574.258800
1583164800,228.360000,234.440000,222.330000,224.510000,223487273.733204
1583251200,224.510000,228.800000,220.010000,221.740000,136140068.149745
1583337600,221.750000,234.110000,220.190000,231.380000,166467472.876784
1583424000,231.380000,241.390000,226.500000,234.630000,185366678.637142
1583510400,234.640000,247.310000,234.630000,246.820000,145455064.629440
1583596800,246.800000,251.800000,212.000000,216.790000,321998212.739114
1583683200,216.790000,217.910000,190.000000,194.430000,443757498.730877
1583769600,194.500000,206.040000,191.280000,196.630000,250300363.367631
1583856000,196.760000,203.940000,190.340000,191.900000,162032994.527903
1583942400,191.880000,195.600000,122.000000,141.240000,622270368.026459
1584028800,141.220000,145.500000,87.000000,123.770000,783261482.596921
1584115200,123.750000,136.810000,115.000000,126.660000,291211378.841926
1584201600,126.660000,130.600000,120.800000,124.040000,176385054.372393
1584288000,124.040000,133.100000,101.230000,114.690000,351734056.091535
1584374400,114.640000,120.850000,107.010000,117.390000,201799142.617334
1584460800,117.490000,119.600000,110.000000,115.840000,143527064.866163
1584547200,115.840000,128.990000,112.340000,127.940000,206987957.105503
1584633600,127.990000,152.550000,126.100000,142.720000,415004340.355196
1584720000,142.740000,144.850000,117.000000,132.930000,273418746.589869
1584806400,132.930000,137.310000,124.780000,127.980000,159409025.494747
1584892800,127.990000,137.440000,120.000000,129.430000,219606395.223219
1584979200,129.430000,143.380000,128.990000,135.990000,234795968.999954
1585065600,135.990000,142.100000,132.580000,135.490000,202043834.666475
1585152000,135.500000,138.550000,133.330000,134.590000,114328233.646478
1585238400,134.610000,141.000000,133.610000,136.020000,131401754.372919
1585324800,136.020000,137.550000,125.000000,128.070000,136198490.373878
1585411200,128.060000,132.930000,125.220000,129.030000,76976053.447284
1585497600,129.010000,134.620000,123.900000,132.180000,100103242.903406
1585584000,132.160000,135.100000,130.400000,132.740000,77915974.021265
1585670400,132.750000,135.000000,130.380000,131.060000,60963747.530984
1585756800,131.060000,139.780000,128.730000,139.330000,134196215.447438
1585843200,139.330000,149.990000,138.230000,141.400000,199281656.192321
1585929600,141.400000,144.100000,137.800000,142.310000,85998243.984654
1586016000,142.300000,146.250000,141.150000,143.610000,70029336.440885
1586102400,143.620000,161.500000,140.710000,161.300000,220912514.419008
1586188800,161.310000,176.300000,160.200000,169.080000,344228368.281190
1586275200,169.090000,174.460000,162.000000,169.140000,247298507.949212
1586361600,169.110000,173.580000,165.000000,169.990000,167417498.383822
1586448000,169.980000,170.900000,152.180000,153.100000,200264214.061182
1586534400,153.070000,161.290000,152.000000,157.350000,105933453.111165
1586620800,157.350000,162.000000,153.930000,161.940000,91876857.350177
1586707200,161.960000,164.790000,150.000000,154.060000,182966934.126173
1586793600,154.000000,161.050000,152.900000,159.810000,103469359.745407
1586880000,159.840000,161.820000,155.200000,155.810000,109614913.378652
1586966400,155.810000,174.410000,148.470000,172.570000,324244546.928553
1587052800,172.570000,174.740000,168.230000,169.850000,160367239.266503
1587139200,169.860000,184.770000,169.140000,184.550000,199768743.108851
1587225600,184.540000,189.400000,176.050000,178.820000,215916954.860014
1587312000,178.810000,186.460000,173.010000,179.340000,217418403.257220
1587398400,179.380000,180.130000,167.000000,170.360000,227873810.686781
1587484800,170.320000,183.000000,169.810000,182.620000,173347132.989969
1587571200,182.620000,193.800000,178.070000,189.280000,251337493.150505
1587657600,189.270000,190.740000,183.000000,187.540000,156414607.436613
1587744000,187.520000,198.000000,185.780000,193.390000,177212329.673911
1587830400,193.390000,199.930000,191.540000,193.930000,164031851.613465
1587916800,193.940000,199.000000,190.000000,192.750000,157961495.480554
1588003200,192.760000,197.500000,191.200000,195.560000,123177145.127493
1588089600,195.550000,210.940000,195.010000,209.760000,216608102.361831
1588176000,209.760000,227.180000,202.000000,208.090000,467434374.970944
1588262400,208.080000,217.070000,202.130000,209.840000,242676895.247434
1588348800,209.830000,214.050000,208.240000,212.930000,92059298.225919
1588435200,212.930000,219.100000,205.010000,208.160000,174059315.446259
1588521600,208.150000,211.430000,195.000000,205.960000,206962172.172232
1588608000,205.960000,211.680000,201.000000,203.650000,147644956.084640
1588694400,203.670000,210.680000,202.000000,208.220000,129805734.588885
1588780800,208.240000,208.900000,197.000000,206.060000,190904442.921683
1588867200,206.030000,216.500000,204.290000,211.380000,242704636.308343
1588953600,211.370000,214.990000,208.390000,213.020000,140629175.056114
1589040000,212.990000,214.230000,182.310000,188.290000,271736088.708015
1589126400,188.300000,193.500000,180.400000,188.230000,167616461.853638
1589212800,188.260000,192.230000,176.000000,190.880000,149926860.958487
1589299200,190.880000,198.400000,186.760000,198.170000,90080712.390335
1589385600,198.150000,206.000000,195.370000,202.480000,172072509.054089
1589472000,202.480000,205.210000,196.210000,197.930000,135209963.652083
1589558400,197.910000,203.300000,193.140000,200.670000,109588145.246329
1589644800,200.690000,209.820000,197.880000,208.750000,108508163.552648
1589731200,208.750000,217.090000,206.050000,211.350000,168371383.328743
1589817600,211.350000,215.890000,208.880000,212.380000,119024945.140974
1589904000,212.380000,215.500000,206.460000,207.990000,124497878.395816
1589990400,208.030000,211.720000,196.600000,199.270000,145711213.190981
1590076800,199.220000,205.490000,191.680000,205.210000,117975844.359761
1590163200,205.230000,211.190000,204.460000,207.770000,93504405.169487
1590249600,207.760000,210.600000,203.800000,205.440000,83870086.633663
1590336000,205.490000,207.790000,198.040000,202.710000,106195213.761131
1590422400,202.710000,205.780000,197.080000,197.690000,69035400.001815
1590508800,197.720000,207.710000,196.910000,206.000000,88324779.395935
1590595200,206.010000,214.640000,204.660000,214.260000,108108014.384367
1590681600,214.250000,224.740000,213.390000,219.560000,180460802.265090
1590768000,219.560000,238.800000,218.760000,235.630000,221729664.636999
1590854400,235.630000,247.110000,232.110000,233.760000,250675695.829333
1590940800,233.740000,242.500000,230.120000,238.190000,186309003.438450
1591027200,238.190000,253.660000,224.130000,233.610000,340160759.067771
1591113600,233.600000,240.600000,232.150000,239.320000,145114373.141990
1591200000,239.360000,246.660000,236.150000,245.000000,171559481.562311
1591286400,245.020000,247.800000,239.100000,241.860000,152802365.292444
1591372800,241.840000,244.700000,238.000000,242.320000,102307935.315398
1591459200,242.320000,244.090000,235.000000,237.400000,123453253.741835
1591545600,237.400000,245.280000,235.230000,243.010000,130694789.458669
1591632000,243.020000,249.680000,238.170000,243.320000,133835461.176754
1591718400,243.320000,245.130000,240.660000,243.490000,71365443.995167
1591804800,243.500000,250.000000,238.100000,239.010000,273549254.784044
1591891200,239.000000,239.910000,226.200000,236.300000,245849901.869380
1591977600,236.300000,238.570000,234.020000,237.130000,73604474.606114
1592064000,237.130000,238.730000,233.000000,235.370000,72245360.077327
1592150400,235.370000,235.600000,218.500000,226.400000,204799228.747230
1592236800,226.400000,235.990000,225.780000,233.010000,141112455.290907
1592323200,233.000000,237.270000,230.900000,231.610000,93688008.645166
1592409600,231.580000,234.690000,227.700000,231.270000,71849820.671725
1592496000,231.270000,232.740000,226.510000,230.870000,107729699.873851
1592582400,230.850000,231.130000,225.660000,226.640000,69670499.935547
1592668800,226.640000,231.360000,226.250000,230.600000,51102957.197579
1592755200,230.610000,241.600000,227.200000,241.410000,141797382.506671
1592841600,241.420000,246.770000,240.750000,244.400000,142445904.284687
1592928000,244.400000,249.200000,231.100000,232.020000,227149562.035927
1593014400,232.010000,235.820000,227.600000,233.710000,130698660.115885
1593100800,233.720000,234.850000,227.800000,230.060000,109106411.187458
1593187200,230.050000,231.550000,226.380000,227.580000,59903137.831429
1593273600,227.580000,228.030000,216.320000,226.160000,146784465.156982
1593360000,226.160000,227.860000,221.250000,223.980000,80968916.496184
1593446400,223.970000,229.990000,223.000000,226.350000,94935127.803863
1593532800,226.360000,229.380000,224.130000,229.380000,84581325.510137
