Time, Open, High, Low, Close, Volume
1572480000, 0.083900, 0.088510, 0.082010, 0.084530, 4730394.554077
1572566400, 0.084500, 0.091860, 0.083200, 0.085610, 8392774.447328
1572652800, 0.085620, 0.089150, 0.085490, 0.086880, 7725770.672538
1572739200, 0.086870, 0.087430, 0.083740, 0.085720, 4749085.249793
1572825600, 0.085800, 0.088140, 0.084020, 0.086370, 5433240.499041
1572912000, 0.086360, 0.086930, 0.084280, 0.085290, 4382595.790618
1572998400, 0.085270, 0.087430, 0.084340, 0.085990, 8612613.053412
1573084800, 0.085980, 0.094000, 0.085160, 0.087740, 22298020.952562
1573171200, 0.087770, 0.088880, 0.082090, 0.084630, 9071589.056854
1573257600, 0.084530, 0.086970, 0.084520, 0.084910, 2716793.563655
1573344000, 0.084850, 0.087850, 0.084010, 0.085960, 5711671.850834
1573430400, 0.085900, 0.087420, 0.083510, 0.084080, 4988813.396277
1573516800, 0.084070, 0.086580, 0.084030, 0.085620, 3771222.769946
1573603200, 0.085460, 0.092850, 0.084670, 0.092140, 18144566.785234
1573689600, 0.092140, 0.095860, 0.086750, 0.088090, 20523973.446473
1573776000, 0.088090, 0.089880, 0.082270, 0.083700, 12508317.398927
1573862400, 0.083430, 0.084500, 0.082010, 0.082880, 6152676.408870
1573948800, 0.083260, 0.084100, 0.079000, 0.081640, 5533771.719205
1574035200, 0.081660, 0.082350, 0.053047, 0.058590, 19028988.853742
1574121600, 0.058690, 0.068800, 0.055100, 0.067740, 26340202.443297
1574208000, 0.067310, 0.067310, 0.059000, 0.061590, 9638352.843348
1574294400, 0.061610, 0.064280, 0.054570, 0.058810, 22550173.458273
1574380800, 0.058820, 0.060100, 0.046000, 0.052350, 23009831.485718
1574467200, 0.052320, 0.055000, 0.047610, 0.051590, 11752050.474843
1574553600, 0.051590, 0.052350, 0.040959, 0.042350, 17585893.909949
1574640000, 0.042710, 0.048660, 0.040010, 0.045520, 19989349.172724
1574726400, 0.045430, 0.048000, 0.041560, 0.045390, 8537948.344362
1574812800, 0.045420, 0.048650, 0.042000, 0.046940, 16005246.147910
